,words,count
0,#MeOrTheMenu,1
1,#discoveryplus,4
2,#GuysBigBite,1
3,#GreatFoodTruckRace,1
4,#SymonDinners,1
5,#GiadaAtHome,1
6,#BBQBrawl,1
7,#FoodNetworkFinds,1
8,#HertzLetsGo,1
9,#ad,1
10,#kardashians,1
11,#f52community,10
12,#f52grams,2
13,#JuneteenthCookout2022,1
14,#juneteenth,2
15,#pancakes,1
16,#redvelvetcake,1
17,#recipes,1
18,#breakfast,1
19,#dessert,1
20,#redvelvetpancakes,1
21,#redfood,1
22,#vegan,1
23,#veganrecipes,1
24,#bbq,1
25,#cookout,1
26,#pulledpork,1
27,#jackfruit,1
28,#tabithabrown,1
29,#britishbakeoff,1
30,#bakingcompetition,1
31,#cooking,1
32,#netflix,1
33,#rotisseriechicken,1
34,#reviews,1
35,#storebought,1
36,#rainbow,1
37,#rainbowcake,1
38,#layercake,1
39,#baking,1
40,#pridemonth,1
41,#celebration,1
42,#foodcoloring,1
43,#frosting,1
44,#cakedecorating,1
45,#cakemix,1
46,#psychedelicwater,1
47,#sobercurious,1
48,#kava,1
49,#nonalcoholicdrink,1
50,#alcoholfree,1
51,#nonalcoholicseltzer,1
52,#kavaroot,1
53,#sober,1
